STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,ADJUSTMENT,Adjustment,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2015-Q2,,4810204.3,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q2,,4344959,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2018-Q2,,5174866,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2022-Q4,,5801450,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2010-Q2,,4284148.3,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2022-Q2,,5760362.8,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2022-Q3,,5764400.8,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2018-Q4,,5237229,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2019-Q1,,5262549.3,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2019-Q2,,5312570.3,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2019-Q3,,5369659.8,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q4,,4396524,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Quarterly National Accounts (for 'Developer API'),I,Q,Quarterly,Y,Calendar and seasonally adjusted,USA,United States,S1,Total economy,S1,Total economy,P3T5,Domestic demand,_Z,Not applicable,_Z,Not applicable,_T,Total,XDC,National currency,L,Chain linked volume,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2015-Q1,,4777397.3,,2017,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
